,Period,Country,Event_type,Outline,,States,Non-structured-data,More Information of Incident
10,23-04-2021,India,Snow Avalanche,"On 23 April 2021 at about 1600 hours, an avalanche has occurred in District Chamoli of Uttarakhand, Northern India. The search & rescue operation is going on site and so far 384 people have been rescued. 11 people is dead, 7 people injured and 7 people missing due to the avalanche.",,uttarakhand',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=AV-2021-000041-IND"">AV-2021-000041-IN', 'https://reliefweb.int/report/india/ministry-home-affairs-disaster-management-division-national-emergency-response-168"">Gover', 'https://reliefweb.int/report/india/ministry-home-affairs-disaster-management-division-national-emergency-response-161"">Gover']","['2021/04/23', 'India', 'Snow Avalanche', 'On 23 April 2021 at about 1600 hours, an avalanche has occurred in District Chamoli of Uttarakhand, Northern India. The search & rescue operation is going on site and so far 384 people have been rescued. 11 people is dead, 7 people injured and 7 people missing due to the avalanche.']"
11,07-02-2021,India,GLOF,"On 7 February 2021, a glacier has broken off and crashed into a dam in the northern Indian state of Uttarakhand, causing massive floods.
Dozens of people are missing.",,uttarakhand',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2021-000021-IND"">FL-2021-000021-IN', 'https://reliefweb.int/report/india/india-glacier-outburst-and-floods-update-government-uttarakhand-imd-disaster-charter""', 'https://www.bbc.com/news/world-asia-india-55969669', 'https://reliefweb.int/map/india/india-uttarakhand-glacier-burst-and-floods-emergency-response-coordination-centre-ercc-dg""', 'https://disasterscharter.org/web/guest/activations/-/article/flood-flash-in-india-activation-698-"">Internat']","['2021/02/07', 'India', 'GLOF', 'On 7 February 2021, a glacier has broken off and crashed into a dam in the northern Indian state of Uttarakhand, causing massive floods.\r\nDozens of people are missing. ']"
12,25-11-2020,India,Tropical Cyclone,"On 25 November 2020, tropical cyclone NIVAR made landfall over north-eastern Tamil Nadu. Media report, as of 26 November, 3 fatalities and hundreds of damaged houses.",,tamil',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2020-000233-IND"">TC-2020-000233-IN', 'https://jp.reuters.com/article/us-asia-storm-india/cyclone-nivar-tears-down-power-lines-trees-in-india-no-casualties-idUSKBN2860AV"">Re', 'https://reliefweb.int/report/india/india-tropical-cyclone-nivar-update-gdacs-jtwc-imd-charter-media-echo-daily-flash-26""', 'https://reliefweb.int/map/india/india-tropical-cyclone-nivar-dg-echo-daily-map-25112020""', 'https://disasterscharter.org/web/guest/activations/-/article/storm-hurricane-urban-in-india-activation-688-"">Internat', 'https://sentinel-asia.org/EO/article20201125IN.html"">Sen']","['2020/11/25', 'India', 'Tropical Cyclone', 'On 25 November 2020, tropical cyclone NIVAR made landfall over north-eastern Tamil Nadu. Media report, as of 26 November, 3 fatalities and hundreds of damaged houses.']"
13,2020/07,India,Flood,"Continuous monsoon rainfall has been affecting several parts of India, leading to an increasing number of fatalities and damage. The Ministry of Home Affairs Disaster Management Division (NDMI), reported 183 fatalities across four States (Assam, Kerala, West Bengal and Karnataka).",,assam',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2020-000164-IND"">FL-2020-000164-IN', 'https://reliefweb.int/sites/reliefweb.int/files/resources/Sitrep%20Report%20as%20on%2018.08.2020%20at%201900%20Hrs.pdf"">Min', 'https://reliefweb.int/report/india/ministry-home-affairs-disaster-management-division-national-emergency-response-17"">Min', 'https://reliefweb.int/report/india/ministry-home-affairs-disaster-management-division-national-emergency-response-12"">Min', 'https://reliefweb.int/report/india/india-monsoon-rains-update-ndmi-imd-echo-daily-flash-15-september-2020""', 'https://reliefweb.int/sites/reliefweb.int/files/resources/Sitrep%20Report%20as%20on%2018.08.2020%20at%201900%20Hrs.pdf"">Min', 'https://reliefweb.int/report/india/ministry-home-affairs-disaster-management-division-national-emergency-response-17"">Min', 'https://reliefweb.int/report/india/ministry-home-affairs-disaster-management-division-national-emergency-response-12"">Min', 'https://reliefweb.int/report/india/india-monsoon-rain-update-ndmi-imd-floodlist-media-echo-daily-flash-09-july-2020""', 'https://reliefweb.int/map/india/india-flood-inundated-areas-part-gopalganj-and-east-champaran-district-bihar-18-aug-2', 'https://reliefweb.int/map/india/india-flood-inundated-areas-part-khagaria-and-saharsa-districts-bihar-state-18-aug-2', 'https://disasterscharter.org/web/guest/activations/-/article/flood-large-in-india-activation-661-"">Internat']","['2020/07', 'India', 'Flood', 'Continuous monsoon rainfall has been affecting several parts of India, leading to an increasing number of fatalities and damage. The Ministry of Home Affairs Disaster Management Division (NDMI), reported 183 fatalities across four States (Assam, Kerala, West Bengal and Karnataka).', 'Dead: 919\r\nMissing: 27\r\nNo of Affected: 14,965,446\r\nNo of Injured: 144', 'Fully damaged houses: 8,596\r\nPartially damaged houses: 52,046\r\nUnknown: 170 (Uttar Pradesh), 10,702(West Bengal)', '', 'Dead: 464\r\nMissing: 5\r\nNo of Affected: 5,962,803\r\nNo of Injured: 99', 'Fully damaged houses: 1,924\r\nPartially damaged houses: 15,310\r\nUnknown: 182', '', 'Dead: 413 \r\nMissing: 10 \r\nNo of Affected: 6,566,337\r\nNo of Injured: 100', 'Fully damaged houses: 2,563\r\nPartially damaged houses: 17,930', '']"
14,03-06-2020,India,Tropical Cyclone,"Tropical Cyclone NISARGA made landfall over Raigad District (Maharashtra State), very close to Shrivardhan City, India on 3 June with maximum sustained winds up to 120 km/h.",,maharashtra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2020-000145-IND"">TC-2020-000145-IN', 'https://reliefweb.int/report/india/india-tropical-cyclone-nisarga-update-gdacs-imd-media-echo-daily-flash-05-june-2020""', 'https://reliefweb.int/report/india/india-tropical-cyclone-nisarga-update-gdacs-imd-media-echo-daily-flash-04-june-2020""', 'https://sentinel-asia.org/EO/article20200604IN.html"">Sen']","['2020/06/03', 'India', 'Tropical Cyclone', 'Tropical Cyclone NISARGA made landfall over Raigad District (Maharashtra State), very close to Shrivardhan City, India on 3 June with maximum sustained winds up to 120 km/h.']"
15,2020/06,India,Lightning,"Heavy rain and severe thunderstorms have been affecting most of west, east, and north India since mid-June due to the early stage of the Southwest Monsoon.",,,"['https://reliefweb.int/report/india/india-severe-weather-dg-echo-ndmi-imd-reliefweb-media-echo-daily-flash-26-june-2020""']","['2020/06', 'India', 'Lightning', 'Heavy rain and severe thunderstorms have been affecting most of west, east, and north India since mid-June due to the early stage of the Southwest Monsoon.']"
16,19-05-2020,India,Tropical Cyclone,"Tropical Cyclone Amphan is currently located in the central Bay of Bengal and will track north, north-eastward towards India and Bangladesh. According to the latest forecasts, the cyclone will make a landfall on 20 May somewhere in NE India, West Bengal and Bangladesh coast. It is expected that it will bring strong winds, very rough sea conditions, storm surge and heavy rain across Odisha and west Bengal coasts.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2020-000135-IND"">TC-2020-000135-IN', 'https://reliefweb.int/report/india/asia-and-pacific-weekly-regional-humanitarian-snapshot-19-25-may-2020"">U', 'https://reliefweb.int/report/india/india-bangladesh-tropical-cyclone-amphan-update-dg-echo-gdacs-un-ocha-imd-bmd-media""', 'https://www.bbc.com/news/world-asia-india-52749935', 'https://www.reuters.com/article/us-asia-storm-india/powerful-cyclone-tears-into-india-bangladesh-killing-5-idUSKBN22W0MT?feedType=nl&amp;feedName=ustopnewsearly"">Re', 'https://reliefweb.int/report/india/india-bangladesh-tropical-cyclone-amphan-update-gdacs-jtwc-imd-bmd-reliefweb-media-echo""', 'https://reliefweb.int/report/bangladesh/india-bangladesh-tropical-cyclone-amphan-dg-echo-imd-iag-grc-iscg-media-echo-daily""', 'https://reliefweb.int/map/india/tropical-cyclone-amphan-india-estimated-wind-impact-analysis-warning-15-19-may-2020-2100', 'https://reliefweb.int/map/bangladesh/india-bangladesh-tropical-cyclone-amphan-dg-echo-daily-map-19052020""', 'https://disasterscharter.org/web/guest/activations/-/article/storm-hurricane-urban-in-india-activation-653-"">Internat', 'https://reliefweb.int/map/india/cyclone-amphan-affected-areas-part-balasore-mayurbhanj-districts-odisha-state-27-may-2020"">', 'https://reliefweb.int/map/india/cyclone-amphan-affected-areas-part-balasore-districts-odisha-state-28-may-2020"">', 'https://reliefweb.int/map/india/cyclone-amphan-affected-areas-part-east-medinapur-west-bengal-state-27-may-2020"">', 'https://sentinel-asia.org/EO/article20200518IN.html"">Sen']","['2020/05/19', 'India', 'Tropical Cyclone', 'Tropical Cyclone Amphan is currently located in the central Bay of Bengal and will track north, north-eastward towards India and Bangladesh. According to the latest forecasts, the cyclone will make a landfall on 20 May somewhere in NE India, West Bengal and Bangladesh coast. It is expected that it will bring strong winds, very rough sea conditions, storm surge and heavy rain across Odisha and west Bengal coasts.']"
17,26-09-2019,India,Flood,"More than 100 people have died due to flooding caused by heavy rains in the Indian states of Uttar Pradesh and Bihar, officials have said.",,bihar',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2019-000084-IND"">FL-2019-000084-IN', 'https://sentinel.tksc.jaxa.jp/sentinel2/thumbnailEmob.jsp?subset_name=Emergency+Observation&amp;submit.countryIdx=0&amp;emobRequestDetailAction.requestId=ERINSR000049"">ERINSR00004', 'https://reliefweb.int/report/india/situation-report-floodheavy-rain-fall-29th-september-2019-1800-hrs"">Gover', 'https://www.bbc.com/news/world-asia-india-49875027', 'https://reliefweb.int/map/india/india-flood-inundated-part-darbhanga-district-bihar-state-6-oct-2019"">Gover', 'https://reliefweb.int/map/india/india-flood-inundated-part-patna-district-bihar-state-7-oct-2019"">Gover', 'https://reliefweb.int/map/india/india-flood-inundated-part-bihar-state-7-oct-2019"">Gover', 'https://reliefweb.int/map/india/india-flood-inundated-part-katihar-district-bihar-state-4-oct-2019"">Gover', 'https://reliefweb.int/map/india/india-flood-inundated-part-purnia-district-bihar-state-4-oct-2019"">Gover', 'https://reliefweb.int/map/india/india-flood-inundated-part-bhagalpur-district-bihar-state-6-oct-2019"">Gover', 'https://reliefweb.int/map/india/india-flood-inundated-part-muzaffurpur-district-bihar-state-7-oct-2019"">Gover', 'https://disasterscharter.org/web/guest/activations/-/article/flood-large-in-india-activation-623-"">Internat']","['2019/09/26', 'India', 'Flood', 'More than 100 people have died due to flooding caused by heavy rains in the Indian states of Uttar Pradesh and Bihar, officials have said.']"
18,2019/07,India,Flood,More than three million people have been displaced across north and north-eastern India amid monsoon rain.,,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2019-000084-IND"">FL-2019-000084-IN', 'https://reliefweb.int/report/india/india-monsoon-rains-assam-and-bihar-state-dg-echo-ndrf-media-echo-daily-flash-15-july""', 'https://reliefweb.int/report/india/india-floods-assam-state-update-echo-daily-flash-13-july-2019""', 'https://reliefweb.int/map/india/india-nepal-bangladesh-monsoon-rains-dg-echo-daily-map-15072019""']","['2019/07', 'India', 'Flood', 'More than three million people have been displaced across north and north-eastern India amid monsoon rain.']"
19,12-06-2019,India,Tropical Cyclone,India evacuated hundreds of thousands of people to shelters along the coast in its western state of Gujarat as Cyclone Vayu gathering intensity over the Arabian Sea was expected to hit land on 13 June 2019.,,gujarat',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2019-000055-IND"">TC-2019-000055-IN', 'https://www.reuters.com/article/us-india-cyclone/india-evacuates-hundreds-of-thousands-as-cyclone-vayu-builds-fury-idUSKCN1TD0HC"">Re']","['2019/06/12', 'India', 'Tropical Cyclone', 'India evacuated hundreds of thousands of people to shelters along the coast in its western state of Gujarat as Cyclone Vayu gathering intensity over the Arabian Sea was expected to hit land on 13 June 2019.']"
