,Period,Country,Event_type,Outline,,States,Non-structured-data,More Information of Incident
47,14-07-2014,India,Flood,"Monsoon rains over the past week have caused floods in eastern India, killing three people and forcing thousands of families from their homes.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2014-000089-IND"">FL-2014-000089-IN', 'http://reliefweb.int/report/india/over-25000-people-42-villages-affected-floods-assam"">', 'http://www.trust.org/item/20140722142838-urf7k/?source=reOtherNews2"">Re']","['2014/07/14', 'India', 'Flood', 'Monsoon rains over the past week have caused floods in eastern India, killing three people and forcing thousands of families from their homes.']"
48,25-06-2014,India,Flood,"Monsoon rains have triggered river overflows in the State of Assam, north-eastern India, causing damage and evacuations. More than 24,000 people have been affected.",,assam',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2014-000089-IND"">FL-2014-000089-IN', 'http://reliefweb.int/report/india/india-floods-echo-daily-flash-26-june-2014""']","['2014/06/25', 'India', 'Flood', 'Monsoon rains have triggered river overflows in the State of Assam, north-eastern India, causing damage and evacuations. More than 24,000 people have been affected.']"
49,17-04-2014,India,Sand and Dust Storm,At least 18 people were killed and property worth several million rupees damaged in a dust storm that hit Lucknow and other parts of Uttar Pradesh late Thursday.,,uttar',"['http://www.hindustantimes.com/india-news/dust-storm-kills-18-in-uttar-pradesh/article1-1209450.aspx"">hind']","['2014/04/17', 'India', 'Sand and Dust Storm', 'At least 18 people were killed and property worth several million rupees damaged in a dust storm that hit Lucknow and other parts of Uttar Pradesh late Thursday.']"
50,10-03-2014,India,Snowstorm,"Several days of consecutive heavy snowfall have resulted in the deaths of 17 people in the northern Indian state of Jammu and Kashmir, India.",,jammu',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=CW-2014-000036-IND"">CW-2014-000036-IN', 'http://reliefweb.int/report/india/india-heavy-snowfall-echo-daily-flash-17-march-2014""']","['2014/03/10', 'India', 'Snowstorm', 'Several days of consecutive heavy snowfall have resulted in the deaths of 17 people in the northern Indian state of Jammu and Kashmir, India.']"
51,22-11-2013,India,Tropical Cyclone,"Hundreds of thousands were evacuated as a severe cyclone slammed into southeastern India on 22 November 2013, packing strong winds and torrential rains and killing at least two people.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2013-000144-IND"">TC-2013-000144-IN', 'http://reliefweb.int/report/india/cyclone-helen-wreaks-havoc-andhra-10-die"">', 'http://reliefweb.int/report/india/hundreds-thousands-evacuated-cyclone-helen-hits-india', 'http://reliefweb.int/map/india/25-nov-2013-india-tropical-cyclones-lehar-and-helen""', 'http://reliefweb.int/map/india/21-nov-2013-india-tropical-cyclone-helen""']","['2013/11/22', 'India', 'Tropical Cyclone', 'Hundreds of thousands were evacuated as a severe cyclone slammed into southeastern India on 22 November 2013, packing strong winds and torrential rains and killing at least two people.']"
52,25-10-2013,India,Flood,"Flash flood hit the eastern Indian state of Odisha on October 25, 2013. At least 10 people have been killed and 150,000 affected.",,odisha',"['http://reliefweb.int/report/india/floods-kill-48-eastern-india-report', 'http://news.xinhuanet.com/english/world/2013-10/25/c_132830113.htm"">X']","['2013/10/25', 'India', 'Flood', 'Flash flood hit the eastern Indian state of Odisha on October 25, 2013. At least 10 people have been killed and 150,000 affected.']"
53,12-10-2013,India,Tropical Cyclone,"Cyclone Phailin made landfall on the eastern coast of India at around 9pm (local time) on 12 October 2013. Nearly 600,000 people in Odisha and Andhra Prahesh State have been evacuated.",,andhra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2013-000133-IND"">TC-2013-000133-IN', 'https://sentinel.tksc.jaxa.jp/sentinel2/thumbnailEmob.jsp?subset_name=Emergency+Observation&amp;submit.countryIdx=0&amp;emobRequestDetailAction.requestId=ERSECR000168"">ERSECR00016', 'http://in.reuters.com/article/2013/11/27/india-cyclone-lehar-idINDEE9AQ0AM20131127"">Re', 'http://www.bbc.co.uk/news/world-asia-india-24546015', 'http://www.cnn.com/2013/10/14/world/asia/india-cyclone-phailin/', 'http://reliefweb.int/report/india/india-cyclone-phailin-dref-operation-n%C2%B0-mdrin013""', 'http://reliefweb.int/report/india/india-cyclone-phailin-information-bulletin-n%C2%B0-2-13-october-2013""', 'http://reliefweb.int/map/india/india-cyclone-phailin-14-october-2013""', 'http://www.disasterscharter.org/web/charter/activation_details?p_r_p_1415474252_assetId=ACT-458"">Internat']","['2013/10/12', 'India', 'Tropical Cyclone', 'Cyclone Phailin made landfall on the eastern coast of India at around 9pm (local time) on 12 October 2013. Nearly 600,000 people in Odisha and Andhra Prahesh State have been evacuated.']"
54,05-10-2013,India,Lightning,"At least 32 people including nine children were killed over the weekend (5-6 October 2013) by lightning strikes in the eastern Indian states of Bihar and Jharkhand, officials said.",,bihar',['http://reliefweb.int/report/india/32-dead-india-lightning-strikes'],"['2013/10/05', 'India', 'Lightning', 'At least 32 people including nine children were killed over the weekend (5-6 October 2013) by lightning strikes in the eastern Indian states of Bihar and Jharkhand, officials said.']"
55,17-06-2013,India,Flood,"At least 10 people have died after monsoon heavy rains in the northern Indian state of Uttarakhand, officials say. Landslides and flooding had led to the deaths.",,uttarakhand',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2013-000070-IND"">FL-2013-000070-IN', 'https://sentinel.tksc.jaxa.jp/sentinel2/thumbnailEmob.jsp?subset_name=Emergency+Observation&amp;submit.countryIdx=0&amp;emobRequestDetailAction.requestId=ERSECR000157"">ERSECR00015', 'http://www.adrc.asia/documents/disaster_info/2013/1016/sitrepon22.09.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2013/1016/sitrepon21.09.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2013/0910/sitrepon07.09.pdf"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2013-daily-flood-situation-report-summary-important-events-28082013"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2013-daily-flood-situation-report-summary-important-events-22082013"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2013-daily-flood-situation-report-summary-important-events-09082013"">Gover', 'http://reliefweb.int/sites/reliefweb.int/files/resources/Summary%20of%20important%20events%20as%20of%2029.07.2013.pdf"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2013-daily-flood-situation-report-summary-important-events-15072013"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2013-daily-flood-situation-report-summary-important-events-08072013"">Gover', 'http://www.adrc.asia/documents/disaster_info/2013/1016/sitrepon22.09.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2013/1016/sitrepon21.09.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2013/0910/sitrepon07.09.pdf"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2013-daily-flood-situation-report-summary-important-events-28082013"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2013-daily-flood-situation-report-summary-important-events-22082013"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2013-daily-flood-situation-report-summary-important-events-09082013"">Gover', 'http://reliefweb.int/sites/reliefweb.int/files/resources/Summary%20of%20important%20events%20as%20of%2029.07.2013.pdf"">Gover', 'http://reliefweb.int/report/india/almost-6000-people-missing-india-floods-presumed-dead', 'http://reliefweb.int/report/india/southwest-monsoon-2013-daily-flood-situation-report-summary-important-events-15072013"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2013-daily-flood-situation-report-summary-important-events-08072013"">Gover', 'http://reliefweb.int/report/india/1000-dead-india-floods-rebuilding-take-years', 'http://reliefweb.int/report/india/rescuers-race-against-time-india-monsoon-toll-nears-600', 'http://www.bbc.co.uk/news/world-asia-india-22981885', 'http://www.bbc.co.uk/news/world-asia-india-22963870', 'http://reliefweb.int/report/india/120-killed-india-monsoon-floods-officials', 'http://www.bbc.co.uk/news/world-asia-india-22947548', 'http://reliefweb.int/report/india/early-monsoon-hits-india-26-people-dead', 'http://www.bbc.co.uk/news/world-asia-india-22931924', 'http://reliefweb.int/map/india/uttarakhand-location-map-28-june-2013""', 'http://www.adrc.asia/documents/disaster_info/2013/0628/01/1306_ind_LU.pdf"">Geosp', 'http://www.adrc.asia/documents/disaster_info/2013/0628/01/1306_ind_EL.pdf"">Geosp', 'http://reliefweb.int/map/india/india-monsoon-flash-floods-22-june-2013""', 'http://www.disasterscharter.org/web/charter/activation_details?p_r_p_1415474252_assetId=ACT-439"">Internat']","['2013/06/17', 'India', 'Flood', 'At least 10 people have died after monsoon heavy rains in the northern Indian state of Uttarakhand, officials say. Landslides and flooding had led to the deaths.', 'Killed: 1,532\r\nAffected: 2,069,285.16', 'Fully damaged houses: 35,875\r\nPartially damaged houses: 244,241', '', 'Killed: 1,440\r\nAffected: 2,069,285.2', 'Fully damaged houses: 30,545\r\nPartially damaged houses: 195,161', '', 'Killed: 1,367\r\nAffected: 1,900,553\t', 'Fully damaged houses: 41,044 \r\nPartially damaged houses: 180,456', '', 'Killed: 1,258\r\nAffected: 1,890,847.13\t', 'Fully damaged houses: 29,129 \r\nPartially damaged houses: 177,435', '', 'Killed: 1,171\r\nAffected: 2,843,540.13\t', 'Fully damaged houses: 28,552 \r\nPartially damaged houses: 78,318', '', 'Killed: 1,150\r\nAffected: 2,835,677.1', 'Fully damaged houses: 27,819 \r\nPartially damaged houses: 76,475', '', 'Killed: 1,114\r\nAffected: 2,855,207.1', 'Fully damaged houses: 27,569 \r\nPartially damaged houses: 72,657', '', 'Killed: 954\r\nAffected: 606,018', 'Fully damaged houses: 9,668 \r\nPartially damaged houses: 1,982,498', '', 'Killed: 925\r\nAffected: 468,403', 'Fully damaged houses:7,138 \r\nPartially damaged houses: 1,978,446', '']"
56,04-06-2013,India,Lightning,"A total of 27 people including six children were killed across the eastern Indian state of Bihar after they were struck by lightning. Twenty-two of the deaths were reported Tuesday, 4 June 2013 while another five people were killed during pre-monsoon showers on Wednesday, 5 June 2013, the minister in charge of Bihar's disaster management said.",,bihar',['http://reliefweb.int/report/india/lightning-kills-27-eastern-india-official'],"['2013/06/04', 'India', 'Lightning', ""A total of 27 people including six children were killed across the eastern Indian state of Bihar after they were struck by lightning. Twenty-two of the deaths were reported Tuesday, 4 June 2013 while another five people were killed during pre-monsoon showers on Wednesday, 5 June 2013, the minister in charge of Bihar's disaster management said.""]"
57,24-05-2013,India,Heat Wave,"The intense summer heat continues to claim many lives in India. Between 1 April 2013 and 23 May 2013, the official sunstroke toll was only 84 but it zoomed to 524 by 26 May 2013. The highest maximum temperature of 47 degrees Celsius was recorded at Tuni and Visakhapatnam airport.",,,"['http://reliefweb.int/report/india/440-sunstroke-deaths-ap-3-days-toll-climbs-524"">']","['2013/05/24', 'India', 'Heat Wave', 'The intense summer heat continues to claim many lives in India. Between 1 April 2013 and 23 May 2013, the official sunstroke toll was only 84 but it zoomed to 524 by 26 May 2013. The highest maximum temperature of 47 degrees Celsius was recorded at Tuni and Visakhapatnam airport.']"
58,04-05-2013,India,Flash Flood,"At least six persons, including three women, died in a flashfloods triggered by incessant rain at Waru village in Kurung Kumey district, Arunachal Pardesh, India on 4 May 2013.",,arunachal',"['http://reliefweb.int/report/india/flashfloods-claim-6-arunachal-pardesh"">']","['2013/05/04', 'India', 'Flash Flood', 'At least six persons, including three women, died in a flashfloods triggered by incessant rain at Waru village in Kurung Kumey district, Arunachal Pardesh, India on 4 May 2013.']"
59,01-05-2013,India,Earthquake,A 5.7-magnitude earthquake killed one person and injured 59 others in Indian-administered Kashmir on 1 May 2013.,,kashmir',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=EQ-2013-000056-IND"">EQ-2013-000056-IN', 'http://edition.cnn.com/2013/05/01/world/asia/india-earthquake/']","['2013/05/01', 'India', 'Earthquake', 'A 5.7-magnitude earthquake killed one person and injured 59 others in Indian-administered Kashmir on 1 May 2013.']"
60,17-04-2013,India,Violent Wind,"On the evening of 17 April 2013, a storm lashed Kolkata and other districts in India with a maximum wind speed of 116 km per hour, disrupting normal life as road, rail and air services were badly hit.",,,"['http://reliefweb.int/report/india/eight-killed-bengal-storm"">']","['2013/04/17', 'India', 'Violent Wind', 'On the evening of 17 April 2013, a storm lashed Kolkata and other districts in India with a maximum wind speed of 116 km per hour, disrupting normal life as road, rail and air services were badly hit.']"
61,25-12-2012,India,Cold Wave,"Northern India is hit by a cold snap and heavy fog has disrupted flights and train services out of the capital, Delhi, and neighbouring states.",,delhi',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=CW-2012-000207-IND"">CW-2012-000207-IN', 'http://reliefweb.int/report/india/cold-wave-kills-29-people-north-india"">', 'http://reliefweb.int/report/india/coldwave-claims-15-lives"">', 'http://reliefweb.int/report/india/cold-snap-toll-reaches-40"">', 'http://reliefweb.int/report/india/north-india-cold-snap-kills-25']","['2012/12/25', 'India', 'Cold Wave', 'Northern India is hit by a cold snap and heavy fog has disrupted flights and train services out of the capital, Delhi, and neighbouring states.']"
62,04-11-2012,India,Flood,"At least 22 people have been killed by heavy rains in the Indian state of Andhra Pradesh, say state media, days after Cyclone Nilam hit.",,andhra',"['http://www.bbc.co.uk/news/world-asia-india-20216455', 'http://www.bbc.co.uk/news/world-asia-india-20202158']","['2012/11/04', 'India', 'Flood', 'At least 22 people have been killed by heavy rains in the Indian state of Andhra Pradesh, say state media, days after Cyclone Nilam hit.']"
63,31-10-2012,India,Tropical Cyclone,At least eight people were killed and thousands displaced after powerful Cyclone Nilam roared into India's southeastern coast on 31 October 2012.,,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2012-000185-IND"">TC-2012-000185-IN', 'http://reliefweb.int/report/india/evacuees-return-home-after-indian-cyclone', 'http://edition.cnn.com/2012/10/31/world/asia/india/index.html"">CN']","['2012/10/31', 'India', 'Tropical Cyclone', ""At least eight people were killed and thousands displaced after powerful Cyclone Nilam roared into India's southeastern coast on 31 October 2012.""]"
64,21-09-2012,India,Flash Flood,"Flash flood killed 22 people, triggered a series of landslides in north Sikkim, India amid torrential rain on 21 September 2012.",,sikkim',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FF-2012-000166-IND"">FF-2012-000166-IN', 'https://sentinel.tksc.jaxa.jp/sentinel2/thumbnailEmob.jsp?subset_name=Emergency+Observation&amp;submit.countryIdx=0&amp;emobRequestDetailAction.requestId=ERINGH000006"">ERINGH00000', 'http://www.trust.org/alertnet/news/floods-landslides-displace-1-million-in-india-33-dead/"">Re', 'http://reliefweb.int/report/india/flash-flood-kills-22-sikkim"">']","['2012/09/21', 'India', 'Flash Flood', 'Flash flood killed 22 people, triggered a series of landslides in north Sikkim, India amid torrential rain on 21 September 2012.']"
65,02-08-2012,India,Flood,"Landslides and flash floods caused by heavy monsoon rains in the northern Indian state of Uttarakhand since 2 August 2012, 34 people have been killed and more than 2,000 have evacuated.",,uttarakhand',['http://www.bbc.co.uk/news/world-asia-india-19144580'],"['2012/08/02', 'India', 'Flood', 'Landslides and flash floods caused by heavy monsoon rains in the northern Indian state of Uttarakhand since 2 August 2012, 34 people have been killed and more than 2,000 have evacuated.']"
66,23-06-2012,India,Flood,"At least 27 people have died and 900,000 others have been forced to leave their homes as monsoon rains swamp wide areas of the northeastern Indian state of Assam.",,assam',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2012-000110-IND"">FL-2012-000110-IN', 'http://www.adrc.asia/documents/disaster_info/2012/10/sitrepon30.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/10/sitrepon27.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/10/sitrepon26.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon22.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon21.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon17.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon15.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon08.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon04.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon31.08.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon29.08.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/08/sitrepon22.08.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/08/sitrepon19.08.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/08/sitrepon14.08.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/08/sitrepon10.08.2012.pdf"">Gover', '', 'http://www.adrc.asia/documents/disaster_info/2012/08/sitrepon31.07.2012.pdf"">Gover', '', 'http://reliefweb.int/report/india/southwest-monsoon-2012-daily-flood-situation-report-summary-important-events-23072012"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2012-daily-flood-situation-report-summary-important-events-18072012"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon16.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon15.07.2012.pdf"">Gover', '', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon09.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon07.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon04.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon03.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon02.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon01.07.2012.pdf"">Gover', 'http://reliefweb.int/node/507422"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/10/sitrepon30.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/10/sitrepon27.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/10/sitrepon26.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon22.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon21.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon17.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon15.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon08.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon04.09.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon31.08.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/09/sitrepon29.08.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/08/sitrepon22.08.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/08/sitrepon19.08.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/08/sitrepon14.08.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/08/sitrepon10.08.2012.pdf"">Gover', '', 'http://www.adrc.asia/documents/disaster_info/2012/08/sitrepon31.07.2012.pdf"">Gover', '', 'http://reliefweb.int/report/india/southwest-monsoon-2012-daily-flood-situation-report-summary-important-events-23072012"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2012-daily-flood-situation-report-summary-important-events-18072012"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon16.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon15.07.2012.pdf"">Gover', '', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon09.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon07.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon04.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon03.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon02.07.2012.pdf"">Gover', 'http://www.adrc.asia/documents/disaster_info/2012/07/sitrepon01.07.2012.pdf"">Gover', 'http://reliefweb.int/node/507422"">Gover', 'http://reliefweb.int/node/506904', 'http://reliefweb.int/node/507001""', 'http://www.disasterscharter.org/web/charter/activation_details?p_r_p_1415474252_assetId=ACT-398"">Internat']","['2012/06/23', 'India', 'Flood', 'At least 27 people have died and 900,000 others have been forced to leave their homes as monsoon rains swamp wide areas of the northeastern Indian state of Assam.', 'Dead: 536\r\nAffected: 2,543,175.3 ', 'Fully damaged houses: 19,494\r\nPartially damaged houses: 70,420 ', '', 'Dead: 527\r\nAffected: 1,031,746', 'Fully damaged houses: 19,296\r\nPartially damaged houses: 70,441', '', 'Dead: 513\r\nAffected: 2,380,500.6', 'Fully damaged houses: 19,207\r\nPartially damaged houses: 70,255', '', 'Dead: 685\r\nAffected: 3,390,837.5', 'Fully damaged houses: 20,170\r\nPartially damaged houses: 68,904', '', 'Dead: 612\r\nAffected: 3,221,445.49', 'Fully damaged houses: 20,307\r\nPartially damaged houses: 68,870', '', 'Dead: 579\r\nAffected: 3,221,420', 'Fully damaged houses: 16,342\r\nPartially damaged houses: 46,270', '', 'Dead: 573\r\nAffected: 3,22,129.46', 'Fully damaged houses: 16,337\r\nPartially damaged houses: 46,204', '', 'Dead: 538\r\nAffected: 3,221,005', 'Fully damaged houses: 17,054\r\nPartially damaged houses: 44,769', '', 'Dead: 520\r\nAffected: 3,122,617.5', 'Fully damaged houses: 15,581\r\nPartially damaged houses: 43,385', '', 'Dead: 506\r\nAffected: 3,121,904.3', 'Fully damaged houses: 14,046\r\nPartially damaged houses: 43,363', '', 'Dead: 485\r\nAffected: 3,124,123.3', 'Fully damaged houses: 14,534\r\nPartially damaged houses: 43,301', '', 'Dead: 483\r\nAffected: 3,124,123', 'Fully damaged houses: 14,470\r\nPartially damaged houses: 43,297', '', 'Dead: 476\r\nAffected: 3,123,449.3', 'Fully damaged houses: 14,438\r\nPartially damaged houses: 43,139', '', 'Dead: 448\r\nAffected: 3,114,068', 'Fully damaged houses: 14,180\r\nPartially damaged houses: 42,305', '', 'Dead: 443\r\nAffected: 3,110,189.22', 'Fully damaged houses: 13,507\r\nPartially damaged houses: 41,963', '', 'Dead: 400\r\nAffected: 3104874.2', 'Fully damaged houses: 13,397\r\nPartially damaged houses: 41,153', '', 'Dead: 398\r\nAffected: 3,103,854.12', 'Fully damaged houses: 12,839\r\nPartially damaged houses: 40,498', '', 'Dead: 390\r\nAffected: 3,097,480.8', 'Fully damaged houses: 12,706\r\nPartially damaged houses: 40,305', '', 'Dead: 364\r\nAffected: 3,090,007', 'Fully damaged houses: 12,400\r\nPartially damaged houses: 40,101', '', 'Dead: 304\r\nAffected: 2,639,461', 'Fully damaged houses: 3,630.95\r\nPartially damaged houses: 12,714.5', '', 'Dead: 288\r\nAffected: 2,639,461', 'Fully damaged houses: 3,570.96\r\nPartially damaged houses: 12,704.5', '', 'Dead: 285\r\nAffected: 2,639,461', 'Fully damaged houses: 3,570.96\r\nPartially damaged houses: 12,704.5', '', 'Dead: 263\r\nAffected: 1,164,791', 'Fully damaged houses: 3,678\r\nPartially damaged houses: 12,659.5', '', 'Dead: 263\r\nAffected: 1,164,767', 'Fully damaged houses: 3,725\r\nPartially damaged houses: 12,425.5', '', 'Dead: 259\r\nAffected: 1,164,763', 'Fully damaged houses: 3,723\r\nPartially damaged houses: 12,412.5', '', 'Dead: 254\r\nAffected: 1,164,654', 'Fully damaged houses: 3,722\r\nPartially damaged houses: 12,385.5', '', 'Dead: 236\r\nAffected: 1,482,083', 'Fully damaged houses: 3,632\r\nPartially damaged houses: 12,404.5', '', 'Dead: 212\r\nAffected: 2,240,840', 'Fully damaged houses: 4,990\r\nPartially damaged houses: 16453.5', '', 'Dead: 133\r\nAffected: 478,464', 'Fully damaged houses: 3,503\r\nPartially damaged houses: 18,615.5', '', 'Dead: 137\r\nAffected: 478,455\n', 'Fully damaged houses: 2,144\r\nPartially damaged houses: 14,532.5', '']"
67,30-12-2011,India,Tropical Cyclone,"Cyclone Thane hit Tamil Nadu state, India on 30 December with winds of up to 135 kmph and tidal surges of up to 5 feet. At least 33 people died .",,tamil',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2011-000201-IND"">TC-2011-000201-IN', 'http://reliefweb.int/node/468016"">Gover', 'http://in.reuters.com/article/2011/12/31/india-cyclone-thane-idINDEE7BT03D20111231"">Re', 'http://reliefweb.int/node/467814""']","['2011/12/30', 'India', 'Tropical Cyclone', 'Cyclone Thane hit Tamil Nadu state, India on 30 December with winds of up to 135 kmph and tidal surges of up to 5 feet. At least 33 people died .']"
68,10-12-2011,India,Cold Wave,26 people have died in a cold wave sweeping through northern India.,,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=CW-2011-000197-IND"">CW-2011-000197-IN', 'http://nidm.gov.in/PDF/DU/2011/December/26-12-11.pdf""', 'http://nidm.gov.in/PDF/DU/2011/December/23-12-11.pdf""', 'http://www.bbc.co.uk/news/world-asia-india-16297713', 'http://nidm.gov.in/PDF/DU/2011/December/19-12-11.pdf""', 'http://www.bbc.co.uk/news/world-asia-india-16260463']","['2011/12/10', 'India', 'Cold Wave', '26 people have died in a cold wave sweeping through northern India. ']"
69,18-09-2011,India,Earthquake,"On September 18, 2011, a magnitude 6.9 earthquake struck isolated Himalayan regions in India, Nepal and Tibet. At least 18 people were killed.
The worst affected area was the northern Indian state of Sikkim, the epicentre of the quake where at least 18 people have been killed.",,sikkim',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=EQ-2011-000136-IND"">EQ-2011-000136-IN', 'https://sentinel.tksc.jaxa.jp/sentinel2/thumbnailEmob.jsp?subset_name=Emergency+Observation&amp;submit.countryIdx=0&amp;emobRequestDetailAction.requestId=ERICIM000014"">ERICIM00001', 'http://reliefweb.int/node/448696""', 'http://reliefweb.int/node/447699""', 'http://edition.cnn.com/2011/WORLD/asiapcf/09/19/india.earthquake/index.html"">CN', 'http://www.trust.org/alertnet/news/rain-and-landslides-hamper-himalaya-quake-rescue/"">Re', 'http://earthquake.usgs.gov/earthquakes/"">USGS\u3000Earth', 'http://reliefweb.int/node/447380""']","['2011/09/18', 'India', 'Earthquake', 'On September 18, 2011, a magnitude 6.9 earthquake struck isolated Himalayan regions in India, Nepal and Tibet. At least 18 people were killed.\r\nThe worst affected area was the northern Indian state of Sikkim, the epicentre of the quake where at least 18 people have been killed. ']"
